"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","symbol","genename"
"AT3G60140",17.7211075336377,1.91730802101544,0.690044092718964,0.000264597796380068,0.00485598718662312,"AT3G60140","BGLU30","Encodes a protein similar to beta-glucosidase and is a member of glycoside hydrolase family 1. Expression is induced after 24 hours of dark treatment, in senescing leaves and treatment with exogenous photosynthesis inhibitor. Induction of gene expression was suppressed in excised leaves supplied with sugar. The authors suggest that the gene's expression pattern is responding to the level of sugar in the cell."
"AT3G25882",58.7821730492935,1.20134116127593,0.41396905336997,0.000267979998206687,0.004903938849254,"AT3G25882","NIMIN-2","encodes a kinase that physically interacts with NPR1/NIM1"
"AT1G01420",50.8866418779135,1.5196287387124,0.547929494214756,0.000275656480089499,0.00501250109415129,"AT1G01420","UGT72B3",NA
"AT5G24660",919.634207477757,2.56323829820942,0.977560542087109,0.000279705061836727,0.00505107349394386,"AT5G24660","LSU2",NA
"AT1G49410",689.228438724818,1.02048463365464,0.346598924472537,0.000284489097418694,0.00512422544371163,"AT1G49410","TOM6",NA
"AT4G26810",40.1874688441591,1.04803432368194,0.354836135732311,0.0002885141970232,0.00517397509779241,"AT4G26810",NA,NA
"AT2G43745",27.3346779968493,1.25553148363881,0.439965352117705,0.000290922936411925,0.00520878760445125,"AT2G43745",NA,NA
"AT4G23496",8.63047860445007,2.32683194620978,0.836759988449633,0.000304194090789229,0.00538802186882049,"AT4G23496","SP1L5","Belongs to a six-member gene family in Arabidopsis; all members share high sequence similarity in amino- and carboxy-terminal regions. Regulates cortical microtubule organization. Mutant plants exhibit altered patterns of root, leaf and petal growth as a result of defective anisotropic cell expansion."
"AT1G68360",60.1056385418009,1.05463754835655,0.362869742356844,0.000310781252521398,0.0054552739111709,"AT1G68360","GIS3",NA
"AT2G43390",30.0016465828258,1.42007439772743,0.512892876497947,0.000310425639099927,0.0054552739111709,"AT2G43390",NA,NA
"AT4G19680",11.0126669330586,1.69265699790591,0.612962578862199,0.000328450313078515,0.00567707276504875,"AT4G19680","ATIRT2","encodes an iron transporter whose expression is induced by iron and zinc deficiency. Gene is specifically expressed in the external cell layers of the root subapical zone."
"AT1G64405",41.7831938464144,1.02114145140657,0.352074592186454,0.00032928710922046,0.00568684804935433,"AT1G64405",NA,NA
"AT3G53370",39.7849128634771,1.00698938119056,0.345837879105085,0.000330778491124581,0.00570790275301891,"AT3G53370",NA,NA
"AT1G66400",22.6487031995861,1.3649872406746,0.487759044430617,0.000331330050637426,0.00571271861978969,"AT1G66400","CML23","Encodes a calmodulin-like protein.  Regulates nitric oxide levels and transition to flowering."
"AT1G54010",177.932525057303,1.14140663290403,0.401058165774474,0.00033297237922253,0.00572690640096765,"AT1G54010","GELP23",NA
"AT5G17050",41.8280175687761,1.00760678380344,0.347083640210606,0.000334986753099377,0.00575211487754425,"AT5G17050","UGT78D2","The At5g17050 encodes a anthocyanidin 3-O-glucosyltransferase which specifically glucosylates the 3-position of the flavonoid C-ring. Anthocyanidins such as cyanidin and pelargonidin as well as flavonols such as kaempferol and quercetin are accepted substrates."
"AT5G35732",253.21657104993,1.21506743292189,0.432023779732305,0.000335690357102612,0.00575947956384073,"AT5G35732",NA,NA
"AT3G11120",1032.68495362054,1.07756230286999,0.375296139110579,0.000347943631706304,0.00588304184422505,"AT3G11120","eL41w",NA
"AT4G22217",18.5403467761875,1.78900197767512,0.66520673175029,0.00035495965929516,0.00596320850703711,"AT4G22217",NA,"Encodes a defensin-like (DEFL) family protein."
"AT2G01990",164.366719281986,1.24423766168888,0.446841969067263,0.000356151544830895,0.00597844138424703,"AT2G01990",NA,NA
"AT2G45120",8.40500131711059,2.04540256896353,0.757881393559985,0.000359407295869608,0.0060021964778953,"AT2G45120","ZAT4",NA
