"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","symbol","genename"
"AT1G26240",124.907083275012,-1.75339280000318,0.314500899003866,1.5271479782014e-09,2.78418995747569e-07,"AT1G26240","EXT19",NA
"AT4G19750",11.293220865586,-7.81573903626114,2.7061004555169,1.60431273032436e-09,2.87487356444277e-07,"AT4G19750",NA,NA
"AT4G27310",83.6078640761776,-1.35731131868246,0.243378564165365,1.9758326255703e-09,3.42357907667e-07,"AT4G27310","BBX28",NA
"AT3G07270",323.208660965564,-1.1281901559774,0.201786112379786,2.24905252723783e-09,3.71288466819435e-07,"AT3G07270",NA,NA
"AT4G38810",273.24223275194,-1.50035990894347,0.271839992129101,2.44543384696077e-09,4.00554422151402e-07,"AT4G38810","SCS",NA
"AT5G49360",438.610624374568,-1.60345905644229,0.291681617032871,2.5746347567973e-09,4.18448002410948e-07,"AT5G49360","ATBXL1","Encodes a bifunctional {beta}-D-xylosidase/{alpha}-L-arabinofuranosidase required for pectic arabinan modification.  Located in the extracellular matrix. Gene is expressed specifically in tissues undergoing secondary wall thickening. This is a member of glycosyl hydrolase family 3 and has six other closely related members."
"AT1G80830",709.834272726475,-1.15683549480398,0.208328349868196,2.66403734504893e-09,4.29647745971507e-07,"AT1G80830","ATNRAMP1","Thought to be involved in iron homeostasis. Induced in leaves in response to iron deficiency. Transgenic plants accumulate toxic levels of iron. Gene complements yeast iron uptake mutants."
"AT1G33817",22.0107086136265,-3.06446154949161,0.563837317924661,3.695432251548e-09,5.82544605909439e-07,"AT1G33817",NA,NA
"AT3G24070",117.897924812653,-1.48583599742612,0.273794461506992,4.17781729761396e-09,6.44059687218929e-07,"AT3G24070",NA,NA
"AT1G72840",106.563965606407,-1.68462523905644,0.312260660128918,4.54632330352044e-09,6.95753389646785e-07,"AT1G72840","TNL40",NA
"AT1G25472",15.6330839961215,-6.28257409818105,1.35465877528583,5.63859126234031e-09,8.44419317187336e-07,"AT1G25472",NA,"Upstream open reading frames (uORFs) are small open reading frames found in the 5' UTR of a mature mRNA, and can potentially mediate translational regulation of the largest, or major, ORF (mORF). CPuORF54 represents a conserved upstream opening reading frame relative to major ORF AT1G25470.1"
"AT3G10020",1744.97146116421,-1.24860190651025,0.231195381276819,5.62332852100808e-09,8.44419317187336e-07,"AT3G10020","HUP26",NA
"AT4G24230",417.317263962578,-1.48493596498784,0.276792305498827,5.72915953199017e-09,8.51897579770963e-07,"AT4G24230","ACBP3","acyl-CoA-binding protein ACBP3. Localized  extracellularly in transiently expressed tobacco BY-2  cells and onion epidermal cells. Binds arachidonyl-CoA with high  affinity."
"AT1G05700",59.0906804458931,-1.56395631350187,0.291353510491604,5.95152214129671e-09,8.72584707793195e-07,"AT1G05700",NA,NA
"AT1G26250",2857.76071098955,-1.48196152183607,0.278408157617087,7.22060041147261e-09,1.00924738817957e-06,"AT1G26250","EXT18",NA
"AT4G08380",105.064727789051,-2.67655395097281,0.512332861652748,8.06393902045094e-09,1.10502317322075e-06,"AT4G08380","EXT22",NA
"AT1G03610",263.664310341434,-1.23877074280358,0.233261720388949,9.42468592190637e-09,1.27482558089477e-06,"AT1G03610",NA,NA
"AT5G26820",45.9538510519099,-1.54328625700995,0.293022847366244,1.06908489843314e-08,1.42767095417512e-06,"AT5G26820","ATIREG3","Mutations in MAR1 confer  resistance, while MAR1 overexpression causes hypersensitivity to multiple aminoglycoside  antibiotics. Localizes to the chloroplast envelope. MAR1 may act as a plastid transporter involved in cellular iron homeostasis."
"AT2G24710",52.7189047765767,-1.9424500992383,0.372530829468339,1.08844679170968e-08,1.43524373804938e-06,"AT2G24710","ATGLR2.3","member of Putative ligand-gated ion channel subunit family"
"AT5G54080",254.633155252204,-1.05897071332705,0.199263211092594,1.13794763913958e-08,1.49113813763753e-06,"AT5G54080","AtHGO","homogentisate 1,2-dioxygenase"
"AT4G15530",53.9424512299058,-2.22729041675327,0.432973235829784,1.40474799319324e-08,1.81775372570079e-06,"AT4G15530","PPDK","The product of this long transcript was shown to be targeted to the chloroplast, whereas the shorter transcript (no targeting sequence) accumulates in the cytosol. They were also found in slightly different tissues."
"AT2G13360",1107.52084582457,-1.43006073366292,0.276363126805282,1.65853021207593e-08,2.1017341360813e-06,"AT2G13360","AGT","Encodes a peroxisomal photorespiratory enzyme that catalyzes transamination reactions with multiple substrates. It is involved in photorespiration."
"AT4G01330",297.624865410031,-1.25043209979655,0.240231750468973,1.66406499374938e-08,2.1017341360813e-06,"AT4G01330",NA,NA
"AT5G47560",459.367902215943,-1.51229408715033,0.294135086574759,1.86613233865475e-08,2.32888872691877e-06,"AT5G47560","ATSDAT","Encodes a tonoplast malate/fumarate transporter."
"AT3G45300",513.698582774541,-1.5647890593834,0.307977667845958,2.50315845229987e-08,3.05123372737901e-06,"AT3G45300","ATIVD","Encodes isovaleryl-coenzyme a dehydrogenase.  Mutants have increases in 12 seed free amino acids, accumulation of seed homomethionine and 3-isovaleroyloxypropyl-glucosinolate, with a concomitant decrease in seed 3-benzoyloxypropyl-glucosinolate."
"AT4G31000",120.289832665518,-1.4028721043799,0.274515347883342,2.49227503323861e-08,3.05123372737901e-06,"AT4G31000","CBP60f",NA
"AT1G03220",1744.58634123759,-1.20862650405629,0.235564450099973,2.52281712393925e-08,3.0574210300873e-06,"AT1G03220","SAP2",NA
"AT1G12805",65.7274629962033,-2.81379930930261,0.56139194502745,2.61450031882255e-08,3.15032262554216e-06,"AT1G12805",NA,NA
"AT1G78290",222.136974808871,-1.57609273732651,0.312173917483221,2.93136035007401e-08,3.51193720569438e-06,"AT1G78290","SNRK2-8",NA
"AT5G18610",219.554696606658,-1.41974889748221,0.280590540485701,3.15779775835423e-08,3.69868088277401e-06,"AT5G18610","PBL27",NA
"AT5G39890",169.873230596434,-1.67907777902254,0.33533946990648,3.42934192348194e-08,3.99442126487346e-06,"AT5G39890","HUP43",NA
"AT2G30600",531.352351991752,-1.48202123009766,0.296379909415378,3.96438689953675e-08,4.56688657888393e-06,"AT2G30600",NA,NA
"AT3G49620",132.550247319165,-2.21885169643166,0.450383873955005,4.2598147698333e-08,4.82763656563919e-06,"AT3G49620","DIN11","encodes a protein similar to 2-oxoacid-dependent dioxygenase. Expression is induced after 24 hours of dark treatment, in senescing leaves and treatment with exogenous photosynthesis inhibitor. Induction of gene expression was suppressed in excised leaves supplied with sugar. The authors suggest that the gene's expression pattern is responding to the level of sugar in the cell."
"AT5G55100",254.625210446317,-1.49303772205168,0.300015557367754,4.56576179986185e-08,5.11902470031569e-06,"AT5G55100",NA,NA
"AT3G06380",371.252770480743,-1.13966973779189,0.227152235293276,4.89980234821128e-08,5.46432212939349e-06,"AT3G06380","ATTLP9","Member of TLP family"
"AT1G07150",43.2074371690767,-1.79750239116579,0.363541698702864,4.93574787302049e-08,5.47528518019829e-06,"AT1G07150","MAP3K13","member of MEKK subfamily"
"AT1G53440",397.451515214778,-1.27834848171902,0.256611009673821,5.1470378428947e-08,5.62045809448596e-06,"AT1G53440",NA,NA
"AT2G28630",33.6141319027419,-1.76477803400962,0.358763331599916,5.79545403920637e-08,6.23573952026214e-06,"AT2G28630","KCS12","Encodes KCS12, a member of the 3-ketoacyl-CoA synthase family involved in the biosynthesis of VLCFA (very long chain fatty acids)."
"AT3G57330",478.972054342815,-1.16317534810591,0.234625194390475,6.56298751697702e-08,6.94680289803372e-06,"AT3G57330","ACA11",NA
"AT2G19110",1091.00162262003,-1.44932708436613,0.296200455804624,7.01841877107027e-08,7.3208043758338e-06,"AT2G19110","ATHMA4","Encodes a protein with similarity to Zn ATPase. Can rescue Zn deficiency in yeast and  Cd resistance, suggesting a role in Zn and Cd transport."
"AT1G77850",76.6477773271806,-1.32107794329983,0.268527175489439,7.29334312191154e-08,7.56991246999987e-06,"AT1G77850","ARF17","Posttranscriptionally regulated by miR160 and is essential for proper development.Regulates early auxin response genes."
"AT4G16000",74.2257894254249,-1.31825286797957,0.268433483102885,7.40677093336311e-08,7.64977139846754e-06,"AT4G16000",NA,NA
"AT3G46270",38.8806541888212,-1.65270483671406,0.339367768360401,7.54761213402778e-08,7.75702137264836e-06,"AT3G46270",NA,NA
"AT5G67190",170.180541271702,-1.23098577239716,0.252237684401994,8.99558980696786e-08,9.13338231168356e-06,"AT5G67190","DEAR2","encodes a member of the DREB subfamily A-5 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 16 members in this subfamily including RAP2.1, RAP2.9 and RAP2.10."
"AT1G53430",364.993919734121,-1.18637281610839,0.243203467027293,9.60635886435691e-08,9.54535165640318e-06,"AT1G53430","NILR2",NA
"AT3G13430",100.212223991868,-1.47451825032925,0.305589766071767,9.78310262553541e-08,9.67511932297054e-06,"AT3G13430","BTL07",NA
"AT5G18670",442.282746833408,-1.75569887371073,0.367454328596516,1.03017736358639e-07,1.00928498153983e-05,"AT5G18670","BAM9","putative beta-amylase BMY3 (BMY3)"
"AT1G79950",131.284358832962,-1.19387413874128,0.2455794453055,1.07320715742884e-07,1.04655168663503e-05,"AT1G79950","RTEL1",NA
"AT5G10040",19.5108699264129,-3.38145799063694,0.71124978290369,1.23482444351939e-07,1.19764590945101e-05,"AT5G10040","HUP9",NA
"AT3G17050",57.5372795858323,-2.40060574922243,0.515527883609483,1.66000828257008e-07,1.56070554494907e-05,"AT3G17050",NA,NA
"AT3G06500",327.150747071827,-1.42345656968679,0.302018598466499,1.73397476054536e-07,1.62296941203545e-05,"AT3G06500","A/N-InvC",NA
"AT5G06800",121.065982005235,-1.11057580382364,0.233253213645866,1.91867912634845e-07,1.75663871454243e-05,"AT5G06800",NA,NA
"AT1G67480",452.348991137408,-1.29462178758408,0.27512303036104,2.00020635287662e-07,1.81668519383093e-05,"AT1G67480",NA,NA
"AT4G02380",5432.47436499538,-1.19598894098719,0.253572530284956,2.07124454773129e-07,1.86376451449503e-05,"AT4G02380","AtLEA5","Encodes AtLEA5 (late embryogenesis abundant like protein).  Also known as SENESCENCE-ASSOCIATED GENE 21 (SAG21).  Has a role on oxidative stress tolerance. mRNA levels are elevated in response to various stresses."
"AT1G02640",1566.10007005627,-1.33732527520773,0.286691997580548,2.33966439474201e-07,2.05008268773699e-05,"AT1G02640","ATBXL2","encodes a protein similar to a beta-xylosidase located in the extracellular matrix. This is a member of glycosyl hydrolase family 3 and has six other closely related members."
"AT4G26480",305.518240916079,-1.12349161291457,0.238361640133847,2.33237020657954e-07,2.05008268773699e-05,"AT4G26480","AtKH21",NA
