"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","symbol","genename"
"AT5G09350",59.1941525963649,-0.996944924171704,0.438721582379744,0.00185602194644543,0.0178338020756988,"AT5G09350","PI-4KBETA2","Encodes a phosphatidylinositol 4-OH kinase, PI-4Kbeta2.  Arabidopsis contains 12 PI-4Ks in three separate families: PI-4Kalphs, PI-4kbeta, and PI-4Kgamma.  PI-4Kbeta2 is 83% identical to PI-4kbeta1 encoded by At5g64070.  Important for polarized root hair growth as the loss of this gene and its close relative PI-4kbeta1, leads to the formation of abnormal root hairs."
"AT5G60800",104.182524846009,0.825626289807151,0.342879588840555,0.00185584474435547,0.0178338020756988,"AT5G60800","AtHMP53",NA
"AT1G70180",187.44807847602,-0.611152292395066,0.232257628318356,0.0018580274999096,0.0178448944402678,"AT1G70180",NA,NA
"AT2G39390",1051.83679340616,0.794043298622521,0.325306679607342,0.00186079596887408,0.0178594048387561,"AT2G39390","uL29y",NA
"AT5G18380",6445.40136743024,0.684770073942536,0.268206538079019,0.00186124199049328,0.0178594048387561,"AT5G18380","uS9x",NA
"AT4G28080",53.5813890199553,-1.15895678820965,0.535862634104915,0.00186255578201993,0.0178638355561893,"AT4G28080","REC2",NA
"AT2G16640",489.86127032661,-0.495529390734325,0.179335688193807,0.0018650671433211,0.0178797429020897,"AT2G16640","AIC1",NA
"AT1G78320",51.6961868209385,0.740143203244844,0.295101298410964,0.00186983175594447,0.0179172269630401,"AT1G78320","ATGSTU23","Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002)."
"AT1G53165",117.968627972632,-0.707563964562722,0.28026814442963,0.00187860078809022,0.0179913222160854,"AT1G53165","ATMAP4K",NA
"AT2G32320",69.9889903633897,-0.962413630094891,0.41999652056397,0.00188013865188605,0.0179913222160854,"AT2G32320","ICA2",NA
"AT5G04590",1598.42751163117,-0.667608172257459,0.26078761329013,0.00187991815669199,0.0179913222160854,"AT5G04590","SIR","A.thaliana gene encoding sulfite reductase."
"AT2G46390",1399.64165646673,0.80056888683697,0.330264712015194,0.00188200752125364,0.0179927814366638,"AT2G46390","SDH8",NA
"AT5G28330",25.4430703321581,-1.16618304830224,0.538080298561781,0.00188170755894333,0.0179927814366638,"AT5G28330",NA,NA
"AT2G25800",232.495693144037,-0.899243749537444,0.385018083147948,0.00188646800165051,0.0180272051607131,"AT2G25800",NA,NA
